player_id,current_team,first_name,last_name,position,photo,games_played,goals,assists,points,plus_minus,pim,game_winning_goals,ot_goals,shots,shooting_pctg,power_play_goals,power_play_points,shorthanded_goals,shorthanded_points
8476856,14.0,Matt,Dumba,D,https://assets.nhle.com/mugs/nhl/20232024/TBL/8476856.png,65,4,6,10,-13,82,0,0,67,0.059701,0,0,0,0
8478904,13.0,Steven,Lorentz,C,https://assets.nhle.com/mugs/nhl/20232024/FLA/8478904.png,32,1,2,3,-7,6,1,0,24,0.041667,0,0,0,0
8476858,23.0,Phillip,Di Giuseppe,L,https://assets.nhle.com/mugs/nhl/20232024/VAN/8476858.png,49,5,5,10,0,36,1,0,51,0.098039,0,0,0,0
8478911,26.0,Matt,Roy,D,https://assets.nhle.com/mugs/nhl/20232024/LAK/8478911.png,70,4,18,22,18,40,0,0,118,0.033898,0,1,0,2
8474818,,Jordie,Benn,D,https://assets.nhle.com/mugs/nhl/latest/8474818.png,12,1,1,2,-1,12,1,0,13,0.076923,0,0,0,0
8476867,29.0,Brendan,Gaunce,C,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8476867.png,16,2,2,4,-5,4,0,0,17,0.117647,0,0,0,0
8476869,12.0,Brady,Skjei,D,https://assets.nhle.com/mugs/nhl/20232024/CAR/8476869.png,73,12,29,41,13,36,2,0,166,0.072289,1,10,1,3
8476871,8.0,Tanner,Pearson,L,https://assets.nhle.com/mugs/nhl/20232024/MTL/8476871.png,49,5,7,12,-11,21,1,0,71,0.070423,1,2,0,0
8476872,4.0,Scott,Laughton,C,https://assets.nhle.com/mugs/nhl/20232024/PHI/8476872.png,73,13,24,37,0,54,2,0,155,0.083871,1,5,2,7
8476873,18.0,Mark,Jankowski,C,https://assets.nhle.com/mugs/nhl/20232024/NSH/8476873.png,22,5,7,12,8,0,1,0,33,0.151515,0,1,0,0
8476874,17.0,Olli,Maatta,D,https://assets.nhle.com/mugs/nhl/20232024/DET/8476874.png,64,4,13,17,15,14,0,0,44,0.090909,0,0,0,0
8476875,8.0,Mike,Matheson,D,https://assets.nhle.com/mugs/nhl/20232024/MTL/8476875.png,71,10,38,48,-27,54,0,0,166,0.060241,5,24,1,1
8483619,16.0,Filip,Roos,D,https://assets.nhle.com/mugs/nhl/20232024/CHI/8483619.png,4,0,0,0,-4,0,0,0,2,0.0,0,0,0,0
8476878,7.0,Zemgus,Girgensons,L,https://assets.nhle.com/mugs/nhl/20232024/BUF/8476878.png,54,7,5,12,4,21,3,0,64,0.109375,0,0,0,0
8476879,22.0,Cody,Ceci,D,https://assets.nhle.com/mugs/nhl/20232024/EDM/8476879.png,70,2,18,20,5,14,0,0,83,0.024096,0,0,0,1
8476880,15.0,Tom,Wilson,R,https://assets.nhle.com/mugs/nhl/20232024/WSH/8476880.png,66,17,15,32,-20,120,3,0,152,0.111842,5,9,2,2
8480977,10.0,Semyon,Der-Arguchintsev,C,https://assets.nhle.com/mugs/nhl/20232024/TOR/8480977.png,1,0,0,0,1,0,0,0,0,0.0,0,0,0,0
8476882,12.0,Teuvo,Teravainen,L,https://assets.nhle.com/mugs/nhl/20232024/CAR/8476882.png,69,21,26,47,14,10,3,0,126,0.166667,8,15,1,3
8480979,53.0,Nathan,Smith,C,https://assets.nhle.com/mugs/nhl/20232024/ARI/8480979.png,4,0,0,0,-1,4,0,0,2,0.0,0,0,0,0
8480980,10.0,Connor,Dewar,C,https://assets.nhle.com/mugs/nhl/20232024/TOR/8480980.png,65,10,5,15,-7,24,0,0,67,0.149254,0,0,1,1
8476885,3.0,Jacob,Trouba,D,https://assets.nhle.com/mugs/nhl/20232024/NYR/8476885.png,60,3,19,22,1,52,0,0,114,0.026316,0,1,0,1
8476881,54.0,Tomas,Hertl,C,https://assets.nhle.com/mugs/nhl/20232024/VGK/8476881.png,48,15,19,34,-26,22,1,1,113,0.132743,5,9,1,1
8476887,18.0,Filip,Forsberg,L,https://assets.nhle.com/mugs/nhl/20232024/NSH/8476887.png,72,40,41,81,22,41,10,3,296,0.135135,8,25,0,0
8476884,25.0,Derrick,Pouliot,D,https://assets.nhle.com/mugs/nhl/20232024/DAL/8476884.png,5,0,0,0,-1,0,0,0,5,0.0,0,0,0,0
8476889,25.0,Radek,Faksa,C,https://assets.nhle.com/mugs/nhl/20232024/DAL/8476889.png,65,6,10,16,1,16,1,0,60,0.1,0,0,2,4
8476891,6.0,Matt,Grzelcyk,D,https://assets.nhle.com/mugs/nhl/20232024/BOS/8476891.png,56,2,8,10,10,37,0,0,55,0.036364,0,0,0,0
8476892,19.0,Colton,Parayko,D,https://assets.nhle.com/mugs/nhl/20232024/STL/8476892.png,72,10,14,24,3,18,4,1,141,0.070922,0,1,1,2
8476897,19.0,Oskar,Sundqvist,C,https://assets.nhle.com/mugs/nhl/20232024/STL/8476897.png,71,6,15,21,-6,32,0,0,68,0.088235,3,5,1,3
8480994,,Damien,Giroux,C,https://assets.nhle.com/mugs/nhl/latest/8480994.png,1,0,1,1,0,2,0,0,0,0.0,0,0,0,0
8480995,10.0,Pontus,Holmberg,R,https://assets.nhle.com/mugs/nhl/20232024/TOR/8480995.png,43,6,9,15,7,18,1,0,46,0.130435,0,0,0,0
8476902,25.0,Esa,Lindell,D,https://assets.nhle.com/mugs/nhl/20232024/DAL/8476902.png,73,5,18,23,13,12,0,0,97,0.051546,0,0,0,1
8476905,54.0,Chandler,Stephenson,C,https://assets.nhle.com/mugs/nhl/20232024/VGK/8476905.png,68,15,30,45,-10,23,4,0,93,0.16129,4,11,2,3
8476906,17.0,Shayne,Gostisbehere,D,https://assets.nhle.com/mugs/nhl/20232024/DET/8476906.png,71,10,37,47,-17,16,2,0,122,0.081967,2,25,0,0
8476907,19.0,Mackenzie,MacEachern,L,https://assets.nhle.com/mugs/nhl/20232024/STL/8476907.png,8,0,1,1,-1,0,0,0,4,0.0,0,0,0,0
8481006,19.0,Tyler,Tucker,D,https://assets.nhle.com/mugs/nhl/20232024/STL/8481006.png,18,1,1,2,3,27,0,0,11,0.090909,0,0,0,0
8476913,55.0,Devin,Shore,C,https://assets.nhle.com/mugs/nhl/20232024/SEA/8476913.png,21,1,3,4,3,4,0,0,15,0.066667,0,0,0,0
8476915,30.0,Jujhar,Khaira,L,https://assets.nhle.com/mugs/nhl/20232024/MIN/8476915.png,1,0,0,0,0,0,0,0,1,0.0,0,0,0,0
8481013,17.0,Jonatan,Berggren,R,https://assets.nhle.com/mugs/nhl/20232024/DET/8481013.png,12,2,4,6,-1,2,0,0,14,0.142857,0,0,0,0
8476918,3.0,Jimmy,Vesey,L,https://assets.nhle.com/mugs/nhl/20232024/NYR/8476918.png,70,13,10,23,-2,13,4,0,104,0.125,0,0,0,0
8478967,22.0,Lane,Pederson,C,https://assets.nhle.com/mugs/nhl/20232024/EDM/8478967.png,27,3,3,6,-1,26,0,0,27,0.111111,0,0,0,0
