clinchIndicator,conferenceAbbrev,conferenceHomeSequence,conferenceL10Sequence,conferenceName,conferenceRoadSequence,conferenceSequence,date,divisionAbbrev,divisionHomeSequence,divisionL10Sequence,divisionName,divisionRoadSequence,divisionSequence,gameTypeId,gamesPlayed,goalDifferential,goalDifferentialPctg,goalAgainst,goalFor,goalsForPctg,homeGamesPlayed,homeGoalDifferential,homeGoalsAgainst,homeGoalsFor,homeLosses,homeOtLosses,homePoints,homeRegulationPlusOtWins,homeRegulationWins,homeTies,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationPlusOtWins,l10RegulationWins,l10Ties,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,placeName,pointPctg,points,regulationPlusOtWinPctg,regulationPlusOtWins,regulationWinPctg,regulationWins,roadGamesPlayed,roadGoalDifferential,roadGoalsAgainst,roadGoalsFor,roadLosses,roadOtLosses,roadPoints,roadRegulationPlusOtWins,roadRegulationWins,roadTies,roadWins,seasonId,shootoutLosses,shootoutWins,streakCode,streakCount,teamName,teamCommonName,teamAbbrev,teamLogo,ties,waiversSequence,wildcardSequence,winPctg,wins
NaN,E,9,14,Eastern,12,11,2024-03-27,M,5,7,Metropolitan,6,6,2,71,-27,-0.380282,239,212,2.985915,36,-9,118,109,10,10,42,16,12,0,16,10,-8,36,28,6,1,7,3,3,0,3,17,26,24,21,26,15,NY Islanders,0.528169,75,0.408451,29,0.309859,22,35,-18,121,103,16,5,33,13,10,0,14,20232024,4,1,L,1,New York Islanders,Islanders,NYI,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,0,13,5,0.422535,30
NaN,E,14,7,Eastern,9,12,2024-03-27,A,7,4,Atlantic,5,6,2,72,0,0.0,216,216,3.0,35,6,98,104,17,1,35,15,13,0,17,10,4,29,33,4,1,11,4,4,0,5,27,17,17,22,33,5,Buffalo,0.506944,73,0.444444,32,0.388889,28,37,-6,118,112,16,4,38,17,15,0,17,20232024,1,2,W,1,Buffalo Sabres,Sabres,BUF,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,0,10,6,0.472222,34
NaN,E,8,13,Eastern,14,13,2024-03-27,M,4,6,Metropolitan,7,7,2,71,-5,-0.070423,214,209,2.943662,36,8,102,110,13,4,42,18,17,0,19,10,-9,39,30,5,2,8,3,3,0,3,16,25,26,23,30,10,Pittsburgh,0.507042,72,0.408451,29,0.366197,26,35,-13,112,99,17,6,30,11,9,0,12,20232024,2,2,W,1,Pittsburgh Penguins,Penguins,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,0,11,7,0.43662,31
NaN,W,12,13,Western,12,11,2024-03-27,P,5,5,Pacific,6,5,2,71,-14,-0.197183,231,217,3.056338,36,-8,113,105,17,1,37,18,14,0,18,10,-14,40,26,7,0,6,3,3,0,3,24,28,23,24,33,5,Calgary,0.5,71,0.464789,33,0.394366,28,35,-6,118,112,16,4,34,15,14,0,15,20232024,4,0,L,4,Calgary Flames,Flames,CGY,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,0,9,5,0.464789,33
NaN,W,13,14,Western,11,12,2024-03-27,P,6,6,Pacific,5,6,2,71,-17,-0.239437,206,189,2.661972,37,-6,109,103,16,6,36,13,12,0,15,10,-14,33,19,6,2,6,2,2,0,2,26,29,22,25,29,13,Seattle,0.5,71,0.366197,26,0.323944,23,34,-11,97,86,13,7,35,13,11,0,14,20232024,4,3,W,1,Seattle Kraken,Kraken,SEA,https://assets.nhle.com/logos/nhl/svg/SEA_light.svg,0,8,6,0.408451,29
NaN,E,16,11,Eastern,11,14,2024-03-27,A,8,6,Atlantic,6,7,2,71,-49,-0.690141,245,196,2.760563,34,-22,113,91,17,4,30,11,8,0,13,10,-3,26,23,4,2,10,4,3,0,4,30,22,21,26,32,12,Montréal,0.464789,66,0.323944,23,0.239437,17,37,-27,132,105,15,8,36,12,9,0,14,20232024,6,4,W,2,Montréal Canadiens,Canadiens,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,0,7,8,0.380282,27
NaN,W,11,11,Western,14,13,2024-03-27,C,7,7,Central,7,7,2,72,-23,-0.319444,236,213,2.958333,36,-2,112,110,17,0,38,18,14,0,19,10,1,30,31,5,0,10,5,4,0,5,23,20,28,27,37,5,Arizona,0.451389,65,0.388889,28,0.333333,24,36,-21,124,103,20,5,27,10,10,0,11,20232024,0,2,W,1,Arizona Coyotes,Coyotes,ARI,https://assets.nhle.com/logos/nhl/svg/ARI_light.svg,0,5,7,0.416667,30
NaN,E,12,8,Eastern,16,15,2024-03-27,A,6,5,Atlantic,8,8,2,70,-24,-0.342857,249,225,3.214286,37,-5,131,126,16,2,40,17,13,0,19,10,-6,35,29,4,1,11,4,2,0,5,22,18,30,28,36,4,Ottawa,0.457143,64,0.385714,27,0.3,21,33,-19,118,99,20,2,24,10,8,0,11,20232024,0,3,W,2,Ottawa Senators,Senators,OTT,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,0,6,9,0.428571,30
NaN,E,15,16,Eastern,15,16,2024-03-27,M,8,8,Metropolitan,8,8,2,72,-59,-0.819444,266,207,2.875,36,-21,124,103,18,5,31,12,11,0,13,10,-18,38,20,6,2,6,2,2,0,2,29,30,29,29,37,12,Columbus,0.402778,58,0.291667,21,0.25,18,36,-38,142,104,19,7,27,9,7,0,10,20232024,2,2,L,3,Columbus Blue Jackets,Blue Jackets,CBJ,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,0,4,10,0.319444,23
NaN,W,16,16,Western,13,14,2024-03-27,P,8,8,Pacific,7,7,2,72,-82,-1.138889,259,177,2.458333,37,-36,124,88,24,2,24,10,8,0,11,10,-29,42,13,8,1,3,1,1,0,1,32,32,27,30,44,4,Anaheim,0.361111,52,0.319444,23,0.25,18,35,-46,135,89,20,2,28,13,10,0,13,20232024,1,1,L,1,Anaheim Ducks,Ducks,ANA,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg,0,3,8,0.333333,24
NaN,W,14,9,Western,16,15,2024-03-27,C,8,6,Central,8,8,2,72,-97,-1.347222,257,160,2.222222,37,-19,113,94,18,4,34,14,11,0,15,10,1,34,35,4,0,12,6,5,0,6,28,14,32,31,46,5,Chicago,0.326389,47,0.277778,20,0.208333,15,35,-78,144,66,28,1,13,6,4,0,6,20232024,1,1,W,2,Chicago Blackhawks,Blackhawks,CHI,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,0,2,9,0.291667,21
NaN,W,15,15,Western,15,16,2024-03-27,P,7,7,Pacific,8,8,2,71,-133,-1.873239,291,158,2.225352,35,-61,142,81,21,4,24,10,9,0,10,10,-26,49,23,8,1,3,1,1,0,1,31,31,31,32,47,8,San Jose,0.28169,40,0.211268,15,0.169014,12,36,-72,149,77,26,4,16,5,3,0,6,20232024,5,1,L,1,San Jose Sharks,Sharks,SJS,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,0,1,10,0.225352,16
